character,degree_full,weighted_degree_full,betweenness_full,closeness_full,pagerank_full,eigenvector_full,degree_no_central,weighted_degree_no_central,betweenness_no_central,closeness_no_central,pagerank_no_central,eigenvector_no_central,degree_rank_full,degree_rank_no_central,degree_rank_change,betweenness_rank_full,betweenness_rank_no_central,betweenness_rank_change,pagerank_rank_full,pagerank_rank_no_central,pagerank_rank_change,eigenvector_rank_full,eigenvector_rank_no_central,eigenvector_rank_change
Ashley,0.06796116504854369,0.14035087719298245,0.018183064635092047,0.24228587907334423,0.014102442411256574,0.0661224024577038,0.06862745098039216,0.17777777777777778,0.03449607565798597,0.2108693188257962,0.017456871203328308,0.08195810068680547,9.0,8.0,1.0,16.0,10.0,6.0,14.0,13.0,1.0,15.0,12.0,3.0
Auction Announcer,0.019417475728155338,0.03508771929824561,0.0,0.16152391938222949,0.0066347436732824535,0.002273936199394561,0.0196078431372549,0.044444444444444446,0.0,0.1307540937521962,0.01010349370830316,0.00022773533884799322,45.0,37.0,8.0,44.0,40.0,4.0,44.0,33.0,11.0,58.0,56.0,2.0
Auctioneer,0.019417475728155338,0.03508771929824561,0.0,0.16152391938222949,0.0066347436732824535,0.002273936199394561,0.0196078431372549,0.044444444444444446,0.0,0.1307540937521962,0.01010349370830316,0.00022773533884799322,45.0,37.0,8.0,44.0,40.0,4.0,44.0,33.0,11.0,58.0,56.0,2.0
Audrey McConnell's Student 1,0.11650485436893203,0.543859649122807,0.022087605268644676,0.24349128145679372,0.039154511382825774,0.2654724120286504,0.11764705882352941,0.6888888888888889,0.029550665150548668,0.20610391049074997,0.04689432825065698,0.38040294555345255,5.0,4.0,1.0,15.0,12.0,3.0,6.0,4.0,2.0,5.0,3.0,2.0
Audrey McConnell's Student 2,0.04854368932038834,0.3157894736842105,0.0027841851656814527,0.2091527674051946,0.02227270986694481,0.19742884598431695,0.049019607843137254,0.4,0.004109234452857051,0.1880432585405296,0.02678552002870129,0.29792116977198924,15.0,13.0,2.0,38.0,29.0,9.0,9.0,7.0,2.0,7.0,5.0,2.0
Audrey McConnell's Student 4,0.06796116504854369,0.17543859649122806,0.009097862445949257,0.23305594082293113,0.013955000829953637,0.08878319629290547,0.06862745098039216,0.2222222222222222,0.017742740660620687,0.2158603086204896,0.016602971385473553,0.13066453732424776,9.0,8.0,1.0,30.0,15.0,15.0,15.0,15.0,0.0,13.0,7.0,6.0
Audrey McConnell's Student 8,0.058252427184466014,0.17543859649122806,0.01329399073545276,0.2375812988971628,0.015063030067791664,0.10177663820381595,0.058823529411764705,0.2222222222222222,0.054358377014172,0.20494602335316148,0.018367875083376787,0.141965060703401,13.0,10.0,3.0,26.0,5.0,21.0,12.0,11.0,1.0,10.0,6.0,4.0
Audrey McConnell's Students,0.029126213592233007,0.07017543859649122,0.0015818625184701714,0.19498704212277107,0.007432368720367737,0.040936157102060326,0.0196078431372549,0.044444444444444446,0.00048534265191225003,0.1579237755708344,0.0051914726188526245,0.017671416890963913,29.0,37.0,-8.0,40.0,36.0,4.0,39.0,58.0,-19.0,22.0,29.0,-7.0
Augustus Redfield,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
BB-8,0.019417475728155338,0.05263157894736842,0.0,0.19655320310367685,0.006371865450022774,0.018542367312933423,0.0196078431372549,0.06666666666666667,0.0,0.14950980392156862,0.007688076350716628,0.011653205188066463,45.0,37.0,8.0,44.0,40.0,4.0,47.0,44.0,3.0,37.0,32.0,5.0
Baba Branka,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Baby Bear,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Baby Jesus,0.009708737864077669,0.017543859649122806,0.0,0.17732517236527368,0.003329005777305356,0.007295605532731949,0.00980392156862745,0.022222222222222223,0.0,0.16141766441089708,0.004061614009620545,0.004636401588268941,53.0,51.0,2.0,44.0,40.0,4.0,73.0,64.0,9.0,55.0,43.0,12.0
Babysitter,0.038834951456310676,0.07017543859649122,0.013928435451850643,0.21279020683832842,0.009729956867103772,0.037387327483290336,0.0392156862745098,0.08888888888888889,0.01226368435162844,0.19200206398348812,0.011078772265838024,0.04420899647514693,24.0,19.0,5.0,21.0,17.0,4.0,26.0,28.0,-2.0,26.0,16.0,10.0
Bait Shop Owner,0.04854368932038834,0.08771929824561403,0.015602051353050782,0.2137194217153517,0.011659705550421508,0.03793193402480472,0.049019607843137254,0.1111111111111111,0.014362444647826123,0.1930179479199087,0.013359442966001181,0.044636240265338856,15.0,13.0,2.0,20.0,16.0,4.0,22.0,20.0,2.0,25.0,15.0,10.0
Bambi,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,53.0,68.0,-15.0,44.0,40.0,4.0,65.0,68.0,-3.0,44.0,68.0,-24.0
Banksy,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Barbara Belfry,0.029126213592233007,0.05263157894736842,0.013805263205605866,0.21560241221504642,0.008470018353535039,0.014008969436799796,0.029411764705882353,0.06666666666666667,0.012137264146582725,0.19404463913224865,0.009852184898891852,0.009113069589455229,29.0,26.0,3.0,22.0,18.0,4.0,36.0,35.0,1.0,50.0,36.0,14.0
Barbara Lelavinsky,0.029126213592233007,0.05263157894736842,0.0,0.24228587907334423,0.006047059052639657,0.03127883818129018,0.029411764705882353,0.06666666666666667,0.0,0.20154912793846821,0.007190363600682304,0.032714348013130556,29.0,26.0,3.0,44.0,40.0,4.0,49.0,46.0,3.0,30.0,23.0,7.0
Barry Mackleberry,0.11650485436893203,0.3508771929824561,0.035328678396925106,0.25758814512008177,0.03407930714926981,0.13324744268936864,0.10784313725490197,0.37777777777777777,0.04433998021650903,0.22658628668858846,0.03646822072103327,0.07720805727787408,5.0,5.0,0.0,9.0,6.0,3.0,7.0,6.0,1.0,9.0,13.0,-4.0
Bartman,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Bartron,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
